id,menu_name,price,restaurant_id
716,간장육회덮밥,10900,365
717,행운돈까스,8000,366
718,행운정식,9000,366
719,아메리카노,3800,367
720,카페라떼,4300,367
721,원조닭발,8500,368
722,만만한닭발,8500,368
723,매운등갈비(2인분),19000,368
724,새우버터구이,12000,370
725,"닭볶음탕, 감자탕",20000,370
726,치즈감자채전,16900,371
727,호랑이 모둠 10p,11000,372
728,호랑이 특모둠 12p,15000,372
729,호랑이 특모둠초밥,15000,372
730,연어치즈롤,15000,372
731,제육덮밥,8000,373
732,추어탕,9000,373
733,참치김치찌개,6000,374
734,된장찌개,6000,374
735,니쿠스테이크덮밥 200g,13800,375
736,매콤닭목살덮밥 210g,10900,375
737,짜장면,6500,376
738,짬뽕,7500,376
739,마라탕(소),9900,377
740,불맛 일품마라샹궈(소),18000,377
741,솔잎향 돼지갈비 250g,14000,378
742,항정살 200g,18000,378
743,백반,7000,379
744,오마카세 1인,35000,380
745,매공빠네우동,17000,380
746,단백질도넛,4000,381
747,제주유기농말차,6500,381
748,모듬사시미(중),35000,382
749,모듬꼬치(8종),16000,382
750,수제맥주 12종,5000,383
751,바베큐 세트,29000,383
752,히포크라테스 스프,8500,384
753,통호밀 빵,4500,384
754,짜장면,5000,385
755,해물짬뽕,13000,385
756,칵테일,7900,386
757,맥주,5900,386
758,BBQ 양념치킨,21500,387
759,황올 반+BBQ양념 반,21000,387
760,뿌링클,21000,388
761,후라이드 반/양념 반,21000,388
762,부대찌개(밥포함),9000,389
763,소세지사리,2000,389
764,아메리카노,1500,390
765,딸기라떼,3500,390
766,"스무디(블루베리,딸기,망고,플레인)",5500,391
767,바닐라라떼,4500,391
768,오리지널치킨 5조각,14200,391
769,클래식징거통다리세트,8300,391
770,파스타,14000,394
771,감바스 알 아히요,16000,395
772,치즈&크래커 플레이트,20000,395
773,오리지날 감바스,20000,396
774,마라감바스,22000,396
